28,15,25,17,24,26,18,22,16,20,27,21,29,23,19
23,25,20,16,27,26,15,21,29,17,24,19,18,22,28
15,29,24,22,23,20,17,25,27,16,28,26,21,19,18
17,15,23,26,27,19,18,24,22,29,21,28,20,25,16
21,18,15,16,24,20,27,23,26,19,28,29,17,25,22
20,19,18,22,15,29,28,25,26,23,21,24,27,17,16
25,23,17,16,22,27,28,20,15,24,26,29,21,19,18
16,18,20,19,28,22,21,26,17,29,25,15,24,23,27
21,27,17,25,24,16,20,19,29,28,15,22,23,26,18
23,16,21,22,29,26,17,25,24,27,18,19,20,15,28
15,25,22,29,17,23,26,24,18,20,19,27,28,16,21
18,27,26,23,17,16,25,15,21,24,19,29,22,28,20
19,23,21,28,17,16,27,20,26,22,24,15,29,18,25
27,20,21,29,25,26,15,23,19,17,18,28,22,16,24
21,26,25,29,20,22,23,15,16,19,27,17,28,24,18
