35,38,24,36,22,44,30,42,21,16,33,31,17,20,37,41,23,43,26,40
35,28,15,43,17,42,21,39,34,31,20,41,30,33,44,24,27,22,25,37
27,35,34,40,21,24,22,42,16,37,38,18,26,29,32,30,44,28,33,31
36,38,26,43,21,34,20,33,16,29,23,27,28,18,44,41,37,31,39,35
26,27,34,38,15,33,25,22,31,19,30,42,41,23,24,32,21,16,20,18
22,23,16,38,37,19,27,43,17,40,15,26,25,32,31,41,36,18,33,44
15,17,28,20,33,21,41,35,22,32,26,19,37,42,31,38,40,23,27,44
42,28,24,15,44,29,23,16,41,18,40,26,21,17,22,30,35,43,31,34
42,27,31,26,22,34,40,32,37,39,33,28,21,23,17,29,16,30,35,15
31,22,16,32,28,23,20,37,34,41,43,30,40,17,25,35,29,15,38,42
20,18,15,26,42,38,23,25,37,31,34,28,44,39,16,22,19,35,17,30
34,41,25,16,23,38,31,33,20,21,37,22,30,26,36,35,27,44,40,32
38,37,39,36,27,23,43,31,26,25,40,18,34,29,33,17,28,20,21,19
41,30,25,23,43,31,40,19,34,32,26,29,44,20,24,28,16,22,33,39
28,24,26,19,21,22,15,23,25,34,35,16,31,41,20,32,44,30,38,18
31,17,36,26,34,39,15,19,35,21,37,40,20,29,16,32,22,24,44,41
44,39,38,19,37,29,41,34,18,33,36,21,40,20,22,25,15,32,31,30
21,23,16,24,44,43,18,28,34,29,32,41,40,36,22,15,37,38,30,25
20,29,24,44,25,26,39,18,33,28,32,27,15,37,31,40,21,30,16,41
16,42,40,43,26,31,20,33,37,32,18,39,17,23,34,29,28,35,25,27
